Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        44903       440060           2      204528  220030077 .TAU application
 59.3         1.58       260942           2         100  130471121 Driver_Main
 59.3         8127       260742          20      258210   13037119 MultiStage_Step
 35.9        77463       158159       20704      577856       7639 Task_SendBoundaryBuffers_MeshBlockData
 23.8         8348       104858           4       91458   26214517 Mesh::Initialize
 17.2        75811        75811      511136           0        148 Kokkos::parallel_for PackData 4D [device=33554432]
 15.0        0.679        65953          24          26    2748030 LoadBalancingAndAdaptiveMeshRefinement
 14.7         7341        64750       16400      403760       3948 Task_SetBoundaries_MeshBlockData
 14.7        64485        64485      511136           0        126 Kokkos::parallel_for UnpackData 4D [device=33554432]
 14.5         18.3        63889           2        1658   31944460 RedistributeAndRefineMeshBlocks
  9.4        21934        41468           2      126712   20733838 Step 7: Construct new MeshBlockList
  6.4          765        28066       20704       62112       1356 Task_ProlongateBoundaries
  5.5        24081        24081      181824           0        132 Kokkos::parallel_for RestrictCellCenteredValues3d [device=33554432]
  5.1         2950        22563       20704      152256       1090 RestrictBoundaries
  3.4          762        15115       20710       62130        730 Task_FillDerived
  3.0         1947        13215        4304      115488       3070 Task_ReceiveAndSetBoundariesWithWait
  1.8         1083         7793       16400       49200        475 Task_Advection_CalculateFluxes
  1.1         2105         4909       20710       25888        237 PostFillDerived
  1.1         2056         4879       20710       25888        236 FillDerived
  1.0         2048         4564       20710       25888        220 PreFillDerived
  1.0          744         4551       20704       29568        220 ProlongateBoundaries
  1.0         4253         4253       45264           0         94 MPI_Wait() 
  0.9         3910         3910       30272           0        129 Kokkos::parallel_for ProlongateCellCenteredValues3d [device=33554432]
  0.9          483         3745       16400       16400        228 Task_Tag_Block
  0.8         3694         3694       19064           0        194 Kokkos::parallel_reduce advection check refinement [device=0]
  0.7          524         2970       18040       18040        165 Task_EstimateTimestep
  0.6         1727         2611          40       11532      65278 Task_WeightedSumData
  0.6         2464         2464       16400           0        150 Kokkos::parallel_for x3 flux [device=33554432]
  0.6         2464         2464       16400           0        150 Kokkos::parallel_for x2 flux [device=33554432]
  0.6         2446         2446       18040           0        136 Kokkos::parallel_reduce advection_package::EstimateTimestep [device=0]
  0.6         1446         2437       16400        7360        149 Task_SendFluxCorrection
  0.5         2299         2299       20704           0        111 Kokkos::parallel_for advection_package::SquareIt [device=33554432]
  0.5         2296         2296       20704           0        111 Kokkos::parallel_for advection_package::PostFill [device=33554432]
  0.5         3.94         2063          24          54      85963 UpdateMeshBlockTree
  0.5         2059         2059          48           0      42893 MPI_Allgather() 
  0.5         1992         1992       20704           0         96 Kokkos::parallel_for advection_package::PreFill [device=33554432]
  0.4         1781         1781       16400           0        109 Kokkos::parallel_for x1 flux [device=33554432]
  0.3          288         1304       17210        7360         76 Task_ReceiveFluxCorrection
  0.3          331         1290       21156      134590         61 Task_ReceiveBoundaryBuffers_MeshBlockData
  0.2         1078         1078       11744           0         92 Kokkos::parallel_for Kokkos::View::initialization [MakePack::sparse_assoc] [device=0]
  0.2         1072         1072       11744           0         91 Kokkos::parallel_for Kokkos::View::initialization [MakePack::vector_component] [device=0]
  0.2         1054         1054       11744           0         90 Kokkos::parallel_for Kokkos::View::initialization [MakePack::cv] [device=0]
  0.1          621          621        4480           0        139 Kokkos::parallel_for ReceiveFluxCorrection_x1 [device=33554432]
  0.1          549          549        3456           0        159 Kokkos::parallel_for Kokkos::View::initialization [recv buf 21] [device=0]
  0.1          539          539       11744           0         46 Kokkos::parallel_for Kokkos::View::destruction [MakePack::cv] [device=0]
  0.1          539          539        3456           0        156 Kokkos::parallel_for Kokkos::View::initialization [send buf 22] [device=0]
  0.1          538          538        3456           0        156 Kokkos::parallel_for Kokkos::View::initialization [send buf 14] [device=0]
  0.1          535          535        3456           0        155 Kokkos::parallel_for Kokkos::View::initialization [recv buf 22] [device=0]
  0.1          533          533        3456           0        154 Kokkos::parallel_for Kokkos::View::initialization [send buf 2] [device=0]
  0.1          532          532        3456           0        154 Kokkos::parallel_for Kokkos::View::initialization [recv buf 23] [device=0]
  0.1          532          532        3456           0        154 Kokkos::parallel_for Kokkos::View::initialization [recv buf 1] [device=0]
  0.1          532          532        3456           0        154 Kokkos::parallel_for Kokkos::View::initialization [send buf 3] [device=0]
  0.1          532          532        3456           0        154 Kokkos::parallel_for Kokkos::View::initialization [recv buf 19] [device=0]
  0.1          532          532        3456           0        154 Kokkos::parallel_for Kokkos::View::initialization [recv buf 2] [device=0]
  0.1          532          532        3456           0        154 Kokkos::parallel_for Kokkos::View::initialization [recv buf 11] [device=0]
  0.1          531          531        3456           0        154 Kokkos::parallel_for Kokkos::View::initialization [send buf 19] [device=0]
  0.1          531          531        3456           0        154 Kokkos::parallel_for Kokkos::View::initialization [send buf 1] [device=0]
  0.1          531          531       67295           0          8 MPI_Iprobe() 
  0.1          530          530        3456           0        154 Kokkos::parallel_for Kokkos::View::initialization [recv buf 3] [device=0]
  0.1          530          530        3456           0        153 Kokkos::parallel_for Kokkos::View::initialization [send buf 4] [device=0]
  0.1          530          530        3456           0        153 Kokkos::parallel_for Kokkos::View::initialization [send buf 12] [device=0]
  0.1          530          530        3456           0        153 Kokkos::parallel_for Kokkos::View::initialization [send buf 11] [device=0]
  0.1          530          530        3456           0        153 Kokkos::parallel_for Kokkos::View::initialization [recv buf 10] [device=0]
  0.1          530          530        3456           0        153 Kokkos::parallel_for Kokkos::View::initialization [recv buf 12] [device=0]
  0.1          530          530        3456           0        153 Kokkos::parallel_for Kokkos::View::initialization [recv buf 18] [device=0]
  0.1          530          530        3456           0        153 Kokkos::parallel_for Kokkos::View::initialization [send buf 13] [device=0]
  0.1          530          530        3456           0        153 Kokkos::parallel_for Kokkos::View::initialization [send buf 20] [device=0]
  0.1          530          530        3456           0        153 Kokkos::parallel_for Kokkos::View::initialization [recv buf 20] [device=0]
  0.1          530          530        3456           0        153 Kokkos::parallel_for Kokkos::View::initialization [recv buf 13] [device=0]
  0.1          530          530        3456           0        153 Kokkos::parallel_for Kokkos::View::initialization [recv buf 4] [device=0]
  0.1          530          530        3456           0        153 Kokkos::parallel_for Kokkos::View::initialization [recv buf 9] [device=0]
  0.1          529          529        3456           0        153 Kokkos::parallel_for Kokkos::View::initialization [send buf 9] [device=0]
  0.1          529          529        3456           0        153 Kokkos::parallel_for Kokkos::View::initialization [recv buf 8] [device=0]
  0.1          529          529        3456           0        153 Kokkos::parallel_for Kokkos::View::initialization [send buf 10] [device=0]
