Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
  0.1         49.3         49.3        1920           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 11] [device=0]
  0.1         49.2         49.2        1920           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 6] [device=0]
  0.1         49.2         49.2        1920           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 20] [device=0]
  0.1         49.2         49.2        1920           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 4] [device=0]
  0.1         49.2         49.2        1920           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 22] [device=0]
  0.1         49.2         49.2        1920           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 15] [device=0]
  0.1         49.2         49.2        1920           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 8] [device=0]
  0.1         49.2         49.2        1920           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 2] [device=0]
  0.1         49.2         49.2        1920           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 14] [device=0]
  0.1         49.2         49.2        1920           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 16] [device=0]
  0.1         49.2         49.2        1920           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 7] [device=0]
  0.1         49.2         49.2        1920           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 21] [device=0]
  0.1         49.2         49.2        1920           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 19] [device=0]
  0.1         49.2         49.2        1920           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 1] [device=0]
  0.1         49.2         49.2        1920           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 18] [device=0]
  0.1         49.2         49.2        1920           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 2] [device=0]
  0.1         49.2         49.2        1920           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 8] [device=0]
  0.1         49.2         49.2        1920           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 22] [device=0]
  0.1         49.2         49.2        1920           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 23] [device=0]
  0.1         49.2         49.2        1920           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 3] [device=0]
  0.1         49.1         49.1        1920           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 9] [device=0]
  0.1         49.1         49.1        1920           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 23] [device=0]
  0.1         49.1         49.1        1920           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 21] [device=0]
  0.1         49.1         49.1        1920           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 17] [device=0]
  0.1         49.1         49.1        1920           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 20] [device=0]
  0.1         49.1         49.1        1920           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 3] [device=0]
  0.0         36.3         36.3        1808           0         20 Kokkos::parallel_for Kokkos::View::destruction [MakeFluxPack::f3] [device=0]
  0.0         35.3         35.3        1808           0         20 Kokkos::parallel_for Kokkos::View::destruction [MakeFluxPack::cv] [device=0]
  0.0         35.2         35.2        1808           0         19 Kokkos::parallel_for Kokkos::View::initialization [MakeFluxPack::cv] [device=0]
  0.0         35.1         35.1        1808           0         19 Kokkos::parallel_for Kokkos::View::initialization [MakeFluxPack::vector_component] [device=0]
  0.0         34.9         34.9        1808           0         19 Kokkos::parallel_for Kokkos::View::initialization [MakeFluxPack::sparse_assoc] [device=0]
  0.0         34.9         34.9        1808           0         19 Kokkos::parallel_for Kokkos::View::destruction [MakeFluxPack::f2] [device=0]
  0.0         34.7         34.7        1808           0         19 Kokkos::parallel_for Kokkos::View::destruction [MakeFluxPack::f1] [device=0]
  0.0         34.3         34.3        1808           0         19 Kokkos::parallel_for Kokkos::View::initialization [MakeFluxPack::f1] [device=0]
  0.0         34.3         34.3        1808           0         19 Kokkos::parallel_for Kokkos::View::initialization [MakeFluxPack::f2] [device=0]
  0.0         34.1         34.1        1808           0         19 Kokkos::parallel_for Kokkos::View::initialization [MakeFluxPack::f3] [device=0]
  0.0         33.6         33.6        1600           0         21 Kokkos::parallel_for SendFluxCorrection3D_x1 [device=33554432]
  0.0         33.5         33.5        1600           0         21 Kokkos::parallel_for SendFluxCorrection3D_x2 [device=33554432]
  0.0         33.3         33.3        1600           0         21 Kokkos::parallel_for SendFluxCorrection3D_x3 [device=33554432]
  0.0         32.5         32.5        1600           0         20 Kokkos::parallel_for ReceiveFluxCorrection_x2 [device=33554432]
  0.0         27.4         27.4         960           0         29 Kokkos::parallel_for Kokkos::View::initialization [one_minus_advected] [device=0]
  0.0         27.4         27.4         960           0         29 Kokkos::parallel_for Kokkos::View::initialization [one_minus_advected_sq] [device=0]
  0.0         27.1         27.1         960           0         28 Kokkos::parallel_for Kokkos::View::initialization [one_minus_sqrt_one_minus_advected_sq_37] [device=0]
  0.0         27.1         27.1         960           0         28 Kokkos::parallel_for Kokkos::View::initialization [one_minus_sqrt_one_minus_advected_sq_12] [device=0]
  0.0         26.8         26.8         960           0         28 Kokkos::parallel_for Kokkos::View::initialization [advected.fluxX1] [device=0]
  0.0         26.7         26.7         960           0         28 Kokkos::parallel_for Kokkos::View::initialization [advected.fluxX3] [device=0]
  0.0         26.7         26.7         960           0         28 Kokkos::parallel_for Kokkos::View::initialization [advected.fluxX2] [device=0]
  0.0         26.1         26.1         960           0         27 Kokkos::parallel_for Kokkos::View::initialization [ParArrayNDGeneric:/usr/workspace/ellinger/repos/parthenon/src/reconstruct/reconstruction.cpp:178] [device=0]
  0.0         25.7         25.7         960           0         27 Kokkos::parallel_for Kokkos::View::initialization [ParArrayNDGeneric:/usr/workspace/ellinger/repos/parthenon/src/bvals/bvals_base.cpp:116] [device=0]
  0.0         25.3         25.3         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [ParArrayNDGeneric:/usr/workspace/ellinger/repos/parthenon/src/reconstruct/reconstruction.cpp:179] [device=0]
  0.0         25.3         25.3         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [ParArrayNDGeneric:/usr/workspace/ellinger/repos/parthenon/src/reconstruct/reconstruction.cpp:181] [device=0]
  0.0         25.2         25.2         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [ParArrayNDGeneric:/usr/workspace/ellinger/repos/parthenon/src/reconstruct/reconstruction.cpp:182] [device=0]
  0.0         25.2         25.2         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [ParArrayNDGeneric:/usr/workspace/ellinger/repos/parthenon/src/reconstruct/reconstruction.cpp:183] [device=0]
  0.0         25.2         25.2         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [ParArrayNDGeneric:/usr/workspace/ellinger/repos/parthenon/src/bvals/bvals_base.cpp:117] [device=0]
  0.0         25.2         25.2         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [ParArrayNDGeneric:/usr/workspace/ellinger/repos/parthenon/src/reconstruct/reconstruction.cpp:184] [device=0]
  0.0         24.9         24.9         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 42] [device=0]
  0.0         24.9         24.9         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 49] [device=0]
  0.0         24.9         24.9         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 55] [device=0]
  0.0         24.8         24.8         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [advected.coarse] [device=0]
  0.0         24.8         24.8         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 48] [device=0]
  0.0         24.8         24.8         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 48] [device=0]
  0.0         24.8         24.8         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 54] [device=0]
  0.0         24.8         24.8         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 51] [device=0]
  0.0         24.8         24.8         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 54] [device=0]
  0.0         24.8         24.8         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 53] [device=0]
  0.0         24.8         24.8         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 33] [device=0]
  0.0         24.8         24.8         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 53] [device=0]
  0.0         24.8         24.8         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 52] [device=0]
  0.0         24.8         24.8         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 51] [device=0]
  0.0         24.8         24.8         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 52] [device=0]
  0.0         24.8         24.8         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 50] [device=0]
  0.0         24.8         24.8         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 38] [device=0]
  0.0         24.8         24.8         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 55] [device=0]
  0.0         24.8         24.8         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 50] [device=0]
  0.0         24.7         24.7         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 47] [device=0]
  0.0         24.7         24.7         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 42] [device=0]
  0.0         24.7         24.7         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 45] [device=0]
  0.0         24.7         24.7         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 34] [device=0]
  0.0         24.7         24.7         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 34] [device=0]
