Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0       289357      4765963           8      842479  595745417 .TAU application
 62.4          107      2975968           8       10867  371995967 Driver_Main
 53.3        31328      2542185          32  1.2512E+06   79443284 Mesh::Initialize
 45.4         3.03      2161776          96         120   22518501 LoadBalancingAndAdaptiveMeshRefinement
 45.1       405212      2148609       77197 2.44334E+06      27833 Task_SendBoundaryBuffers_MeshBlockData
 44.7          161      2130548          24       15939   88772826 RedistributeAndRefineMeshBlocks
 32.6        43954      1551408          80 1.06181E+06   19392604 MultiStage_Step
 31.4      1498610      1498610      879896           0       1703 MPI_Start() 
 13.1        11649       623227       24883      764984      25046 Task_ReceiveAndSetBoundariesWithWait
 11.1       527085       527085      581757           0        906 MPI_Wait() 
 10.9       518849       518849 1.92461E+06           0        270 Kokkos::parallel_for UnpackData 4D [device=33554432]
  9.7       462565       462565 1.92461E+06           0        240 Kokkos::parallel_for PackData 4D [device=33554432]
  8.7        23778       413845       52314 1.30111E+06       7911 Task_SetBoundaries_MeshBlockData
  5.1         3575       241631       77197      439948       3130 Task_StartReceiving
  3.6        88769       169562          24      270751    7065089 Step 7: Construct new MeshBlockList
  3.1         2886       146449       77197      231591       1897 Task_ProlongateBoundaries
  2.7       130755       130755      462902           0        282 Kokkos::parallel_for RestrictCellCenteredValues3d [device=33554432]
  2.5         7669       118103       77197      383526       1530 RestrictBoundaries
  2.3         2886       110627       77237      231711       1432 Task_FillDerived
  1.3          254        61124          24         335    2546833 Step 8: Recv data and unpack
  1.0         3472        49085       52314      156942        938 Task_Advection_CalculateFluxes
  0.8        12004        37065       77237       93904        480 FillDerived
  0.8        12056        37050       77237       93904        480 PostFillDerived
  0.7        11548        33626       77237       93904        435 PreFillDerived
  0.7         9.11        31225          96         232     325263 UpdateMeshBlockTree
  0.7        31211        31211         192           0     162555 MPI_Allgather() 
  0.7        31031        31031         168           0     184707 MPI_Allreduce() 
  0.5        26110        26110          13           0    2008493 MPI_Waitall() 
  0.5         2204        24755       77197       79376        321 ProlongateBoundaries
