Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      1152082     44556705          32 3.09658E+06 1392397046 .TAU application
 80.4         1229     35843158          32      127663 1120098694 Driver_Main
 77.4       126687     34482735         288 9.12834E+06  119731719 Mesh::Initialize
  0.0        12935        12935       42282           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 1] [device=0]
  0.0        12932        12932       42282           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 4] [device=0]
  0.0        12932        12932       42282           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 14] [device=0]
  0.0        12931        12931       42282           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 5] [device=0]
  0.0        12931        12931       42282           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 0] [device=0]
  0.0        12930        12930       42282           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 8] [device=0]
  0.0        12929        12929       42282           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 12] [device=0]
  0.0        12929        12929       42282           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 13] [device=0]
  0.0        12927        12927       42282           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 7] [device=0]
  0.0        12927        12927       42282           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 9] [device=0]
  0.0        12925        12925       42282           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 17] [device=0]
  0.0        12925        12925       42282           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 5] [device=0]
  0.0        12925        12925       42282           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 8] [device=0]
  0.0        12924        12924       42282           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 3] [device=0]
  0.0        12923        12923       42282           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 10] [device=0]
  0.0        12921        12921       42282           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 22] [device=0]
  0.0        12921        12921       42282           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 19] [device=0]
  0.0        12920        12920       42282           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 20] [device=0]
  0.0        12920        12920       42282           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 2] [device=0]
  0.0        12919        12919       42282           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 14] [device=0]
  0.0        12919        12919       42282           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 17] [device=0]
