Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      1152082     44556705          32 3.09658E+06 1392397046 .TAU application
 80.4         1229     35843158          32      127663 1120098694 Driver_Main
 77.4       126687     34482735         288 9.12834E+06  119731719 Mesh::Initialize
  0.0         3.32         3.32          12           0        277 Kokkos::parallel_for Kokkos::View::initialization [recvbuf60] [device=0]
  0.0         3.31         3.31          12           0        276 Kokkos::parallel_for Kokkos::View::initialization [recvbuf78] [device=0]
  0.0         3.27         3.27          12           0        272 Kokkos::parallel_for Kokkos::View::initialization [recvbuf64] [device=0]
  0.0         3.24         3.24          13           0        250 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same48] [device=0]
  0.0         3.22         3.22          12           0        268 Kokkos::parallel_for Kokkos::View::initialization [recvbuf79] [device=0]
  0.0         3.21         3.21          12           0        268 Kokkos::parallel_for Kokkos::View::initialization [recvbuf82] [device=0]
  0.0         3.18         3.18          12           0        265 Kokkos::parallel_for Kokkos::View::initialization [recvbuf81] [device=0]
  0.0         3.18         3.18          12           0        265 Kokkos::parallel_for Kokkos::View::initialization [recvbuf55] [device=0]
  0.0         3.14         3.14          12           0        261 Kokkos::parallel_for Kokkos::View::initialization [recvbuf62] [device=0]
  0.0         3.12         3.12          11           0        284 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same85] [device=0]
  0.0         3.11         3.11          12           0        259 Kokkos::parallel_for Kokkos::View::initialization [recvbuf59] [device=0]
  0.0         3.10         3.10          12           0        259 Kokkos::parallel_for Kokkos::View::initialization [recvbuf77] [device=0]
  0.0         3.10         3.10          12           0        259 Kokkos::parallel_for Kokkos::View::initialization [recvbuf61] [device=0]
  0.0         3.10         3.10          12           0        258 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same51] [device=0]
  0.0         3.07         3.07          12           0        256 Kokkos::parallel_for Kokkos::View::initialization [recvbuf83] [device=0]
  0.0         3.07         3.07          12           0        256 Kokkos::parallel_for Kokkos::View::initialization [recvbuf68] [device=0]
  0.0         3.06         3.06          11           0        279 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same87] [device=0]
  0.0         3.05         3.05          12           0        254 Kokkos::parallel_for Kokkos::View::initialization [recvbuf67] [device=0]
  0.0         3.04         3.04          12           0        253 Kokkos::parallel_for Kokkos::View::initialization [recvbuf80] [device=0]
  0.0         3.00         3.00          12           0        250 Kokkos::parallel_for Kokkos::View::initialization [recvbuf63] [device=0]
  0.0         2.99         2.99          10           0        299 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same71] [device=0]
  0.0         2.97         2.97          12           0        247 Kokkos::parallel_for Kokkos::View::initialization [recvbuf84] [device=0]
  0.0         2.96         2.96          12           0        247 Kokkos::parallel_for Kokkos::View::initialization [recvbuf74] [device=0]
  0.0         2.96         2.96          12           0        246 Kokkos::parallel_for Kokkos::View::initialization [recvbuf90] [device=0]
  0.0         2.95         2.95          12           0        246 Kokkos::parallel_for Kokkos::View::initialization [recvbuf75] [device=0]
  0.0         2.95         2.95          12           0        246 Kokkos::parallel_for Kokkos::View::initialization [recvbuf89] [device=0]
  0.0         2.94         2.94          12           0        245 Kokkos::parallel_for Kokkos::View::initialization [recvbuf86] [device=0]
  0.0         2.94         2.94          11           0        267 Kokkos::parallel_for Kokkos::View::initialization [recvbuf91] [device=0]
  0.0         2.93         2.93          10           0        293 Kokkos::parallel_for Kokkos::View::initialization [recvbuf92] [device=0]
  0.0         2.93         2.93          12           0        244 Kokkos::parallel_for Kokkos::View::initialization [recvbuf85] [device=0]
  0.0         2.92         2.92          10           0        292 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same72] [device=0]
  0.0         2.92         2.92          12           0        243 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same91] [device=0]
  0.0         2.88         2.88          12           0        240 Kokkos::parallel_for Kokkos::View::initialization [recvbuf66] [device=0]
  0.0         2.88         2.88          12           0        240 Kokkos::parallel_for Kokkos::View::initialization [recvbuf65] [device=0]
  0.0         2.88         2.88          12           0        240 Kokkos::parallel_for Kokkos::View::initialization [recvbuf73] [device=0]
  0.0         2.88         2.88          11           0        262 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same88] [device=0]
  0.0         2.86         2.86          12           0        238 Kokkos::parallel_for Kokkos::View::initialization [recvbuf88] [device=0]
  0.0         2.85         2.85          12           0        238 Kokkos::parallel_for Kokkos::View::initialization [recvbuf69] [device=0]
  0.0         2.85         2.85          12           0        238 Kokkos::parallel_for Kokkos::View::initialization [recvbuf76] [device=0]
  0.0         2.85         2.85          10           0        285 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same57] [device=0]
  0.0         2.81         2.81          11           0        256 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same89] [device=0]
  0.0         2.79         2.79          11           0        254 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same90] [device=0]
  0.0         2.78         2.78          12           0        232 Kokkos::parallel_for Kokkos::View::initialization [recvbuf70] [device=0]
  0.0         2.78         2.78          12           0        231 Kokkos::parallel_for Kokkos::View::initialization [recvbuf87] [device=0]
  0.0         2.76         2.76          10           0        276 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same86] [device=0]
  0.0         2.75         2.75          12           0        229 Kokkos::parallel_for Kokkos::View::initialization [recvbuf71] [device=0]
  0.0         2.75         2.75         256           0         11 Step 4: Calc buffer sizes
  0.0         2.73         2.73          11           0        248 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same65] [device=0]
  0.0         2.69         2.69          11           0        245 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same56] [device=0]
  0.0         2.68         2.68          10           0        268 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same92] [device=0]
  0.0         2.67         2.67          12           0        223 Kokkos::parallel_for Kokkos::View::initialization [recvbuf72] [device=0]
  0.0         2.67         2.67          10           0        267 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same53] [device=0]
  0.0         2.67         2.67           9           0        297 Kokkos::parallel_for Kokkos::View::initialization [recvbuf93] [device=0]
  0.0         2.66         2.66          10           0        266 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same63] [device=0]
  0.0         2.66         2.66          11           0        241 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same52] [device=0]
  0.0         2.65         2.65          10           0        265 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same58] [device=0]
  0.0         2.63         2.63          10           0        263 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same81] [device=0]
  0.0         2.62         2.62          10           0        262 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same66] [device=0]
  0.0         2.56         2.56          10           0        256 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same62] [device=0]
  0.0         2.55         2.55          10           0        255 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same54] [device=0]
  0.0         2.55         2.55          10           0        255 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same68] [device=0]
  0.0         2.54         2.54          10           0        254 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same84] [device=0]
  0.0         2.52         2.52          10           0        252 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same74] [device=0]
  0.0         2.52         2.52          10           0        252 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same83] [device=0]
  0.0         2.51         2.51          10           0        251 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same75] [device=0]
  0.0         2.50         2.50          10           0        250 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same59] [device=0]
  0.0         2.50         2.50          10           0        250 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same76] [device=0]
  0.0         2.49         2.49          10           0        249 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same64] [device=0]
  0.0         2.48         2.48           8           0        310 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same133] [device=0]
  0.0         2.48         2.48           9           0        276 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same73] [device=0]
  0.0         2.48         2.48           8           0        310 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same128] [device=0]
  0.0         2.48         2.48           8           0        309 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same129] [device=0]
  0.0         2.47         2.47           8           0        308 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same132] [device=0]
  0.0         2.46         2.46          10           0        246 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same70] [device=0]
  0.0         2.46         2.46           8           0        308 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same131] [device=0]
  0.0         2.46         2.46          10           0        246 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same82] [device=0]
  0.0         2.46         2.46           8           0        307 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same134] [device=0]
  0.0         2.45         2.45          10           0        245 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same69] [device=0]
  0.0         2.45         2.45          10           0        245 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same67] [device=0]
  0.0         2.44         2.44           8           0        304 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same140] [device=0]
  0.0         2.43         2.43           8           0        304 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same139] [device=0]
  0.0         2.42         2.42           8           0        303 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same138] [device=0]
  0.0         2.42         2.42          10           0        242 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same60] [device=0]
  0.0         2.41         2.41          10           0        241 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same55] [device=0]
  0.0         2.40         2.40           8           0        300 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same136] [device=0]
  0.0         2.40         2.40           8           0        300 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same130] [device=0]
  0.0         2.39         2.39           8           0        299 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same135] [device=0]
  0.0         2.39         2.39           9           0        265 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same79] [device=0]
  0.0         2.38         2.38           9           0        264 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same93] [device=0]
  0.0         2.38         2.38           9           0        264 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same78] [device=0]
  0.0         2.37         2.37           9           0        264 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same80] [device=0]
  0.0         2.37         2.37           8           0        296 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same137] [device=0]
  0.0         2.36         2.36           8           0        294 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same141] [device=0]
  0.0         2.31         2.31           9           0        256 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same77] [device=0]
  0.0         2.31         2.31           8           0        288 Kokkos::parallel_for Kokkos::View::initialization [recvbuf94] [device=0]
  0.0         2.24         2.24           9           0        249 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same95] [device=0]
  0.0         2.24         2.24          10           0        224 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same61] [device=0]
  0.0         2.21         2.21           8           0        276 Kokkos::parallel_for Kokkos::View::initialization [recvbuf95] [device=0]
  0.0         2.19         2.19           7           0        313 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same122] [device=0]
  0.0         2.19         2.19           8           0        273 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same98] [device=0]
  0.0         2.18         2.18           7           0        311 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same126] [device=0]
  0.0         2.18         2.18           7           0        311 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same123] [device=0]
  0.0         2.17         2.17           7           0        310 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same127] [device=0]
  0.0         2.16         2.16           7           0        309 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same121] [device=0]
  0.0         2.16         2.16           7           0        308 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same124] [device=0]
  0.0         2.09         2.09           8           0        261 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same97] [device=0]
  0.0         2.08         2.08           7           0        297 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same107] [device=0]
  0.0         2.07         2.07           7           0        296 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same119] [device=0]
  0.0         2.07         2.07           7           0        296 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same125] [device=0]
  0.0         2.07         2.07           8           0        258 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same96] [device=0]
  0.0         2.03         2.03           7           0        290 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same109] [device=0]
  0.0         2.01         2.01           7           0        288 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same108] [device=0]
  0.0         2.01         2.01           7           0        287 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same106] [device=0]
  0.0         2.00         2.00           7           0        285 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same112] [device=0]
  0.0         1.99         1.99           7           0        284 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same111] [device=0]
  0.0         1.97         1.97           8           0        247 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same101] [device=0]
  0.0         1.96         1.96           8           0        245 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same100] [device=0]
  0.0         1.94         1.94           7           0        277 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same105] [device=0]
  0.0         1.93         1.93           7           0        275 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same104] [device=0]
  0.0         1.91         1.91           7           0        273 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same110] [device=0]
  0.0         1.90         1.90           7           0        272 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same118] [device=0]
  0.0         1.88         1.88           6           0        313 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same120] [device=0]
  0.0         1.85         1.85           7           0        264 Kokkos::parallel_for Kokkos::View::initialization [recvbuf96] [device=0]
  0.0         1.83         1.83           7           0        261 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same103] [device=0]
  0.0         1.83         1.83           8           0        228 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same94] [device=0]
  0.0         1.78         1.78           7           0        254 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same99] [device=0]
  0.0         1.74         1.74           7           0        248 Kokkos::parallel_for Kokkos::View::initialization [recvbuf97] [device=0]
  0.0         1.69         1.69           6           0        282 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same113] [device=0]
  0.0         1.68         1.68           6           0        281 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same114] [device=0]
  0.0         1.68         1.68           6           0        280 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same116] [device=0]
  0.0         1.67         1.67           6           0        279 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same115] [device=0]
  0.0         1.67         1.67           7           0        238 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same102] [device=0]
  0.0         1.67         1.67           6           0        278 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same117] [device=0]
  0.0         1.59         1.59           7           0        228 Kokkos::parallel_for Kokkos::View::initialization [recvbuf98] [device=0]
  0.0         1.27         1.27           4           0        318 Kokkos::parallel_for Kokkos::View::initialization [recvbuf133] [device=0]
  0.0         1.27         1.27           4           0        317 Kokkos::parallel_for Kokkos::View::initialization [recvbuf122] [device=0]
  0.0         1.27         1.27           4           0        317 Kokkos::parallel_for Kokkos::View::initialization [recvbuf132] [device=0]
  0.0         1.27         1.27           4           0        316 Kokkos::parallel_for Kokkos::View::initialization [recvbuf121] [device=0]
  0.0         1.27         1.27           4           0        316 Kokkos::parallel_for Kokkos::View::initialization [recvbuf131] [device=0]
  0.0         1.26         1.26           4           0        314 Kokkos::parallel_for Kokkos::View::initialization [recvbuf124] [device=0]
  0.0         1.26         1.26           4           0        314 Kokkos::parallel_for Kokkos::View::initialization [recvbuf138] [device=0]
  0.0         1.26         1.26           4           0        314 Kokkos::parallel_for Kokkos::View::initialization [recvbuf134] [device=0]
  0.0         1.26         1.26           4           0        314 Kokkos::parallel_for Kokkos::View::initialization [recvbuf135] [device=0]
  0.0         1.26         1.26           4           0        314 Kokkos::parallel_for Kokkos::View::initialization [recvbuf123] [device=0]
  0.0         1.26         1.26           4           0        314 Kokkos::parallel_for Kokkos::View::initialization [recvbuf126] [device=0]
  0.0         1.25         1.25           4           0        314 Kokkos::parallel_for Kokkos::View::initialization [recvbuf125] [device=0]
  0.0         1.25         1.25           4           0        312 Kokkos::parallel_for Kokkos::View::initialization [recvbuf128] [device=0]
  0.0         1.25         1.25           4           0        312 Kokkos::parallel_for Kokkos::View::initialization [recvbuf137] [device=0]
  0.0         1.25         1.25           4           0        312 Kokkos::parallel_for Kokkos::View::initialization [recvbuf136] [device=0]
  0.0         1.25         1.25           4           0        311 Kokkos::parallel_for Kokkos::View::initialization [recvbuf130] [device=0]
  0.0         1.24         1.24           4           0        310 Kokkos::parallel_for Kokkos::View::initialization [recvbuf139] [device=0]
  0.0         1.22         1.22           5           0        244 Kokkos::parallel_for Kokkos::View::initialization [recvbuf99] [device=0]
  0.0         1.19         1.19           4           0        296 Kokkos::parallel_for Kokkos::View::initialization [recvbuf129] [device=0]
  0.0         1.18         1.18           4           0        295 Kokkos::parallel_for Kokkos::View::initialization [recvbuf127] [device=0]
  0.0         1.17         1.17           4           0        293 Kokkos::parallel_for Kokkos::View::initialization [recvbuf103] [device=0]
  0.0         1.17         1.17           4           0        293 Kokkos::parallel_for Kokkos::View::initialization [recvbuf104] [device=0]
  0.0         1.10         1.10           4           0        276 Kokkos::parallel_for Kokkos::View::initialization [recvbuf111] [device=0]
  0.0         1.10         1.10           4           0        275 Kokkos::parallel_for Kokkos::View::initialization [recvbuf112] [device=0]
  0.0         1.10         1.10           4           0        275 Kokkos::parallel_for Kokkos::View::initialization [recvbuf101] [device=0]
  0.0         1.09         1.09           4           0        274 Kokkos::parallel_for Kokkos::View::initialization [recvbuf110] [device=0]
  0.0         1.09         1.09           4           0        273 Kokkos::parallel_for Kokkos::View::initialization [recvbuf105] [device=0]
  0.0         1.09         1.09           4           0        273 Kokkos::parallel_for Kokkos::View::initialization [recvbuf109] [device=0]
  0.0         1.09         1.09           4           0        273 Kokkos::parallel_for Kokkos::View::initialization [recvbuf115] [device=0]
  0.0         1.09         1.09           4           0        273 Kokkos::parallel_for Kokkos::View::initialization [recvbuf106] [device=0]
  0.0         1.09         1.09           4           0        272 Kokkos::parallel_for Kokkos::View::initialization [recvbuf102] [device=0]
  0.0         1.09         1.09           4           0        272 Kokkos::parallel_for Kokkos::View::initialization [recvbuf100] [device=0]
  0.0         1.09         1.09           4           0        272 Kokkos::parallel_for Kokkos::View::initialization [recvbuf116] [device=0]
  0.0         1.08         1.08           4           0        270 Kokkos::parallel_for Kokkos::View::initialization [recvbuf107] [device=0]
  0.0         1.08         1.08           4           0        270 Kokkos::parallel_for Kokkos::View::initialization [recvbuf108] [device=0]
  0.0         1.07         1.07           4           0        269 Kokkos::parallel_for Kokkos::View::initialization [recvbuf114] [device=0]
  0.0         1.07         1.07           4           0        268 Kokkos::parallel_for Kokkos::View::initialization [recvbuf113] [device=0]
  0.0        0.981        0.981           4           0        245 Kokkos::parallel_for Kokkos::View::initialization [recvbuf119] [device=0]
  0.0        0.975        0.975           4           0        244 Kokkos::parallel_for Kokkos::View::initialization [recvbuf118] [device=0]
  0.0        0.975        0.975           4           0        244 Kokkos::parallel_for Kokkos::View::initialization [recvbuf120] [device=0]
  0.0        0.972        0.972           4           0        243 Kokkos::parallel_for Kokkos::View::initialization [recvbuf117] [device=0]
  0.0        0.918        0.918           3           0        306 Kokkos::parallel_for Kokkos::View::initialization [recvbuf140] [device=0]
  0.0        0.855        0.855           3           0        285 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f80] [device=0]
  0.0        0.847        0.847           3           0        282 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f79] [device=0]
  0.0        0.697        0.697           3           0        232 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f77] [device=0]
  0.0        0.695        0.695           3           0        232 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f78] [device=0]
  0.0        0.658        0.658           2           0        329 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f93] [device=0]
  0.0        0.649        0.649           2           0        324 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f92] [device=0]
  0.0        0.644        0.644           2           0        322 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f94] [device=0]
  0.0        0.621        0.621           2           0        310 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f113] [device=0]
  0.0        0.617        0.617           2           0        308 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f114] [device=0]
  0.0        0.617        0.617           2           0        308 Kokkos::parallel_for Kokkos::View::initialization [recvbuf143] [device=0]
  0.0        0.615        0.615           2           0        308 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f116] [device=0]
  0.0        0.615        0.615           2           0        308 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f117] [device=0]
  0.0        0.611        0.611           2           0        306 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f115] [device=0]
  0.0        0.604        0.604           2           0        302 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f120] [device=0]
  0.0        0.604        0.604           2           0        302 Kokkos::parallel_for Kokkos::View::initialization [recvbuf141] [device=0]
  0.0        0.600        0.600           2           0        300 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same143] [device=0]
  0.0        0.596        0.596           3           0        199 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f73] [device=0]
  0.0        0.594        0.594           2           0        297 Kokkos::parallel_for Kokkos::View::initialization [recvbuf142] [device=0]
  0.0        0.590        0.590           2           0        295 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same142] [device=0]
  0.0        0.558        0.558           2           0        279 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f44] [device=0]
  0.0        0.556        0.556           2           0        278 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f43] [device=0]
  0.0        0.472        0.472          32           0         15 MPI_File_seek()
  0.0        0.471        0.471           2           0        236 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f76] [device=0]
  0.0        0.466        0.466           2           0        233 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f75] [device=0]
  0.0        0.460        0.460           2           0        230 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f74] [device=0]
  0.0        0.357        0.357           1           0        357 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f95] [device=0]
  0.0        0.352        0.352           1           0        352 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f33] [device=0]
  0.0        0.352        0.352           2           0        176 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f84] [device=0]
  0.0        0.351        0.351           2           0        176 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f48] [device=0]
  0.0        0.351        0.351           2           0        176 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f86] [device=0]
  0.0        0.351        0.351           1           0        351 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f98] [device=0]
  0.0        0.350        0.350           1           0        350 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f29] [device=0]
  0.0        0.350        0.350           1           0        350 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f31] [device=0]
  0.0        0.349        0.349           1           0        349 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f42] [device=0]
  0.0        0.349        0.349           2           0        174 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f63] [device=0]
  0.0        0.348        0.348           1           0        348 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f23] [device=0]
  0.0        0.348        0.348           1           0        348 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f34] [device=0]
  0.0        0.348        0.348           1           0        348 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f39] [device=0]
  0.0        0.348        0.348           2           0        174 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f64] [device=0]
  0.0        0.348        0.348           1           0        348 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f97] [device=0]
  0.0        0.348        0.348           1           0        348 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f99] [device=0]
  0.0        0.347        0.347           1           0        347 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f41] [device=0]
  0.0        0.346        0.346           1           0        346 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f36] [device=0]
  0.0        0.346        0.346           2           0        173 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f82] [device=0]
  0.0        0.344        0.344           1           0        344 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f40] [device=0]
  0.0        0.344        0.344           2           0        172 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f81] [device=0]
  0.0        0.344        0.344           2           0        172 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f83] [device=0]
  0.0        0.343        0.343           2           0        172 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f47] [device=0]
  0.0        0.343        0.343           1           0        343 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f96] [device=0]
  0.0        0.342        0.342           1           0        342 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f30] [device=0]
  0.0        0.340        0.340           2           0        170 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f21] [device=0]
  0.0        0.340        0.340           1           0        340 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f35] [device=0]
  0.0        0.340        0.340           1           0        340 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f37] [device=0]
  0.0        0.313        0.313           1           0        313 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f111] [device=0]
  0.0        0.313        0.313           1           0        313 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f119] [device=0]
  0.0        0.313        0.313           1           0        313 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f2] [device=0]
  0.0        0.312        0.312           1           0        312 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f26] [device=0]
  0.0        0.311        0.311           1           0        311 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f18] [device=0]
  0.0        0.310        0.310           1           0        310 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f24] [device=0]
  0.0        0.310        0.310           1           0        310 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f25] [device=0]
  0.0        0.310        0.310           1           0        310 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f5] [device=0]
  0.0        0.309        0.309           1           0        309 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f107] [device=0]
  0.0        0.308        0.308           1           0        308 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f27] [device=0]
  0.0        0.307        0.307           1           0        307 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f0] [device=0]
  0.0        0.307        0.307           1           0        307 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f19] [device=0]
  0.0        0.306        0.306           1           0        306 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f103] [device=0]
  0.0        0.306        0.306           1           0        306 Kokkos::parallel_for Kokkos::View::initialization [amr send buf c2f105] [device=0]
  0.0        0.306        0.306           1           0        306 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same144] [device=0]
  0.0        0.306        0.306           1           0        306 Kokkos::parallel_for Kokkos::View::initialization [recvbuf145] [device=0]
  0.0        0.306        0.306           1           0        306 Kokkos::parallel_for Kokkos::View::initialization [recvbuf146] [device=0]
