Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0       146734      1545420           4      414830  386355110 .TAU application
 59.2         2.88       915366           4         200  228841397 Driver_Main
 59.2        22883       914580          40      475352   22864505 MultiStage_Step
 36.4       259234       562242       37376 1.10666E+06      15043 Task_SendBoundaryBuffers_MeshBlockData
 23.5        15734       363806           8      275380   45475752 Mesh::Initialize
 18.5       286567       286567      926656           0        309 Kokkos::parallel_for PackData 4D [device=33554432]
 17.4       268428       268428      926656           0        290 Kokkos::parallel_for UnpackData 4D [device=33554432]
 15.3        13122       236899       29440      727840       8047 Task_SetBoundaries_MeshBlockData
 13.6         1.39       210414          48          52    4383622 LoadBalancingAndAdaptiveMeshRefinement
 13.1         31.1       202797           4        2980   50699285 RedistributeAndRefineMeshBlocks
  7.7        61112       118944           4      184784   29736007 Step 7: Construct new MeshBlockList
  6.1         1375        93829       37376      112128       2510 Task_ProlongateBoundaries
  5.6        87010        87010      287040           0        303 Kokkos::parallel_for RestrictCellCenteredValues3d [device=33554432]
  5.0         4684        77074       37376      240384       2062 RestrictBoundaries
  4.5         3630        69917        7936      228400       8810 Task_ReceiveAndSetBoundariesWithWait
  3.6         1373        56035       37388      112164       1499 Task_FillDerived
  1.8         1938        28187       29440       88320        957 Task_Advection_CalculateFluxes
  1.6        25054        25054      162928           0        154 MPI_Wait() 
  1.2         6156        18831       37388       46592        504 PostFillDerived
  1.2         6073        18808       37388       46592        503 FillDerived
  1.1         5913        17024       37388       46592        455 PreFillDerived
  1.0         1212        15044       37376       46656        403 ProlongateBoundaries
  0.9        14146        14146       47680           0        297 Kokkos::parallel_for ProlongateCellCenteredValues3d [device=33554432]
  0.8        12644        12644       34432           0        367 Kokkos::parallel_reduce advection check refinement [device=0]
  0.8          866        12096       29440       29440        411 Task_Tag_Block
  0.7          937        11177       32384       32384        345 Task_EstimateTimestep
  0.7        10426        10426       37376           0        279 Kokkos::parallel_for advection_package::SquareIt [device=33554432]
  0.7        10366        10366       37376           0        277 Kokkos::parallel_for advection_package::PostFill [device=33554432]
  0.7        10240        10240       32384           0        316 Kokkos::parallel_reduce advection_package::EstimateTimestep [device=0]
  0.6         9722         9722       29440           0        330 Kokkos::parallel_for x2 flux [device=33554432]
  0.6         9714         9714       29440           0        330 Kokkos::parallel_for x3 flux [device=33554432]
  0.6         8804         8804       37376           0        236 Kokkos::parallel_for advection_package::PreFill [device=33554432]
  0.6         5589         8734          80       20712     109173 Task_WeightedSumData
  0.6         4606         8515       29440       12480        289 Task_SendFluxCorrection
  0.5         3.80         7615          48         108     158652 UpdateMeshBlockTree
  0.5         7611         7611          96           0      79281 MPI_Allgather() 
  0.4         6813         6813       29440           0        231 Kokkos::parallel_for x1 flux [device=33554432]
  0.3         1033         4706       49958      553426         94 Task_ReceiveBoundaryBuffers_MeshBlockData
  0.3         1192         4610       37376      133344        123 Task_ClearBoundary
  0.3          500         4460       30730       12480        145 Task_ReceiveFluxCorrection
  0.3         4269         4269       20992           0        203 Kokkos::parallel_for Kokkos::View::initialization [MakePack::cv] [device=0]
  0.3         4257         4257       20992           0        203 Kokkos::parallel_for Kokkos::View::initialization [MakePack::sparse_assoc] [device=0]
  0.3         4254         4254       20992           0        203 Kokkos::parallel_for Kokkos::View::initialization [MakePack::vector_component] [device=0]
  0.2         2967         2967        9280           0        320 Kokkos::parallel_for ReceiveFluxCorrection_x1 [device=33554432]
  0.1         2094         2094      266688           0          8 MPI_Start() 
  0.1         1985         1985        6144           0        323 Kokkos::parallel_for Kokkos::View::initialization [send buf 6] [device=0]
  0.1         1954         1954      276713           0          7 MPI_Iprobe() 
  0.1         1953         1953        6144           0        318 Kokkos::parallel_for Kokkos::View::initialization [recv buf 17] [device=0]
  0.1         1951         1951        6144           0        318 Kokkos::parallel_for Kokkos::View::initialization [send buf 18] [device=0]
  0.1         1951         1951        6144           0        318 Kokkos::parallel_for Kokkos::View::initialization [send buf 16] [device=0]
  0.1         1951         1951        6144           0        317 Kokkos::parallel_for Kokkos::View::initialization [send buf 14] [device=0]
  0.1         1950         1950        6144           0        317 Kokkos::parallel_for Kokkos::View::initialization [recv buf 8] [device=0]
  0.1         1948         1948        6144           0        317 Kokkos::parallel_for Kokkos::View::initialization [send buf 3] [device=0]
  0.1         1948         1948        6144           0        317 Kokkos::parallel_for Kokkos::View::initialization [send buf 15] [device=0]
  0.1         1947         1947        6144           0        317 Kokkos::parallel_for Kokkos::View::initialization [recv buf 20] [device=0]
  0.1         1947         1947        6144           0        317 Kokkos::parallel_for Kokkos::View::initialization [recv buf 1] [device=0]
  0.1         1946         1946        6144           0        317 Kokkos::parallel_for Kokkos::View::initialization [recv buf 13] [device=0]
  0.1         1946         1946        6144           0        317 Kokkos::parallel_for Kokkos::View::initialization [recv buf 14] [device=0]
  0.1         1945         1945        6144           0        317 Kokkos::parallel_for Kokkos::View::initialization [recv buf 15] [device=0]
  0.1         1945         1945        6144           0        317 Kokkos::parallel_for Kokkos::View::initialization [recv buf 21] [device=0]
  0.1         1945         1945        6144           0        317 Kokkos::parallel_for Kokkos::View::initialization [recv buf 16] [device=0]
  0.1         1945         1945        6144           0        317 Kokkos::parallel_for Kokkos::View::initialization [send buf 4] [device=0]
  0.1         1945         1945        6144           0        317 Kokkos::parallel_for Kokkos::View::initialization [recv buf 7] [device=0]
  0.1         1945         1945        6144           0        317 Kokkos::parallel_for Kokkos::View::initialization [recv buf 11] [device=0]
  0.1         1944         1944        6144           0        316 Kokkos::parallel_for Kokkos::View::initialization [send buf 1] [device=0]
  0.1         1944         1944        6144           0        316 Kokkos::parallel_for Kokkos::View::initialization [send buf 12] [device=0]
  0.1         1944         1944        6144           0        316 Kokkos::parallel_for Kokkos::View::initialization [recv buf 12] [device=0]
  0.1         1944         1944        6144           0        316 Kokkos::parallel_for Kokkos::View::initialization [recv buf 5] [device=0]
  0.1         1944         1944        6144           0        316 Kokkos::parallel_for Kokkos::View::initialization [recv buf 6] [device=0]
  0.1         1944         1944        6144           0        316 Kokkos::parallel_for Kokkos::View::initialization [send buf 8] [device=0]
  0.1         1944         1944        6144           0        316 Kokkos::parallel_for Kokkos::View::initialization [recv buf 3] [device=0]
  0.1         1944         1944        6144           0        316 Kokkos::parallel_for Kokkos::View::initialization [send buf 19] [device=0]
  0.1         1943         1943        6144           0        316 Kokkos::parallel_for Kokkos::View::initialization [send buf 0] [device=0]
  0.1         1943         1943        6144           0        316 Kokkos::parallel_for Kokkos::View::initialization [recv buf 0] [device=0]
  0.1         1943         1943        6144           0        316 Kokkos::parallel_for Kokkos::View::initialization [send buf 21] [device=0]
  0.1         1943         1943        6144           0        316 Kokkos::parallel_for Kokkos::View::initialization [send buf 11] [device=0]
  0.1         1943         1943        6144           0        316 Kokkos::parallel_for Kokkos::View::initialization [recv buf 9] [device=0]
  0.1         1943         1943        6144           0        316 Kokkos::parallel_for Kokkos::View::initialization [send buf 10] [device=0]
  0.1         1943         1943        6144           0        316 Kokkos::parallel_for Kokkos::View::initialization [recv buf 2] [device=0]
